Borough,Neighborhood,ID,Name
Bronx,Riverdale,4c04544df423a593ac83d116,Cumin Indian Cuisine
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot
Bronx,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill
Bronx,Parkchester,5c371f9adee770002b4c3c39,Tandoori Place
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird
Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill
Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman
Brooklyn,Manhattan Terrace,4e18dd8db61c8f9ada508aa5,Raj Darbar
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill
Brooklyn,Flatbush,564d283d498e6e851df79d87,Great Indian Curry
Brooklyn,Brooklyn Heights,4b8ffc16f964a520246e33e3,Curry Heights
Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale
Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale
Brooklyn,Boerum Hill,543870ec498ec64de510608d,Masala Grill
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine
Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor
Brooklyn,Prospect Lefferts Gardens,4ec80587d3e3e131f2e72835,Bayleaf
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala
Brooklyn,City Line,4e4e4c8fbd4101d0d7a726b3,Medina Restaurant
Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine
Brooklyn,North Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill
Brooklyn,South Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill
